split,mse,rmse,r2,mae,nse,media_residuo,varianza_residuo,errore_massimo
train,0.08279306441545486,0.28773783973515693,0.8423682451248169,0.2071627825498581,0.8423682451248169,0.0030837170779705048,0.08278355002403259,3.1572718620300293
test,0.0920228436589241,0.3033526720813979,0.8317341804504395,0.2199285477399826,0.8317341804504395,0.03237854316830635,0.09097446501255035,2.512664556503296
