train_loss,val_loss
0.011763822316995584,0.0085009029135108
0.009913173851137068,0.007956965826451778
0.009109636634022143,0.007340034004300833
0.00864083472383665,0.007223163731396198
0.008349922458257745,0.007046726066619158
0.008102033152610209,0.006902679335325956
0.007910119202992349,0.0069530741311609745
0.007774645161321934,0.007094111293554306
0.007611462143341116,0.006790077779442072
0.007501179783824174,0.006556376349180937
0.007276278662531837,0.006409069057554007
0.007101960459669285,0.0062996926717460155
0.006869956435562641,0.006053729448467493
0.006641164143551506,0.005880835000425577
0.006341695406602002,0.005685173906385899
0.006037422551718705,0.0054421029053628445
0.005713004621165786,0.005067826714366674
0.005345328857063078,0.0048069339245557785
0.005005775245509166,0.004564997274428606
0.004655783597662972,0.004193384200334549
0.004341375089579207,0.003900667652487755
0.0040771286939179485,0.0036680474877357483
0.003820339226912634,0.003473931457847357
0.0036282813639891354,0.0033728114794939756
0.0034331973486890397,0.0031608708668500185
0.0032767279349797057,0.003006045473739505
0.003171463888458104,0.002850073156878352
0.003062694671326408,0.002772625768557191
0.0029798299656249583,0.002676488133147359
0.002933825397014837,0.002646771725267172
0.002851738608738992,0.0025700225960463285
0.0028069792555042486,0.002512129256501794
0.002774161011592357,0.002467463258653879
0.0027423640462003796,0.002441774122416973
0.0027124699423153537,0.002399191725999117
0.002675161517782173,0.0023801052011549473
0.0026505854872155787,0.002357498975470662
0.0026444058480681668,0.002303638495504856
0.002601318966423837,0.0023038408253341913
0.002588060351234733,0.0022713702637702227
0.002566764566604523,0.0022429507225751877
0.0025609028833808705,0.0022323469165712595
0.002532035766931835,0.00223334482870996
0.0025512457325342387,0.002198658185079694
0.0025300426607239336,0.0021924027241766453
0.0025092233280541703,0.002184575656428933
0.0024872415016551374,0.0021604164503514767
0.002477356074058323,0.0021489677019417286
0.0024690408146638863,0.002128937281668186
0.002451944039385839,0.002186052268370986
0.0024366591949764567,0.002130534965544939
0.002439649320805591,0.0021193870343267918
0.002449790775369597,0.0022331983782351017
0.0024128041079486996,0.002148538129404187
0.002408919159742985,0.0020849364809691906
0.0023994532798407783,0.0020745843648910522
0.0023920151750858433,0.0020774404983967543
0.002379791520640948,0.0021167821250855923
0.002390368419297624,0.0021659471094608307
0.002374942610770756,0.00205048150382936
0.002358985560325285,0.0020336222369223833
0.0023477539841277417,0.0020291744731366634
0.002346016126502232,0.002117452211678028
0.002347858218069864,0.0020545823499560356
0.002319896973181041,0.0020830356515944004
0.0023251752090622103,0.002015777863562107
0.0023254982838361504,0.0019994904287159443
0.00231546272669791,0.0019988862331956625
0.0023059569317482264,0.0020120914559811354
0.002298454793430317,0.0020049475133419037
0.0022981163586818557,0.0020694213453680277
0.002300974148252577,0.0019832737743854523
0.002291545061298701,0.0019657795783132315
0.002272613736910417,0.0020542482379823923
0.002282392346601495,0.0019580188672989607
0.0022824934145033943,0.0019698035903275013
0.0022636686729075495,0.001961472677066922
0.0022593417111327688,0.001960796071216464
0.0022622274352447585,0.0019553096499294043
0.0022593569843664617,0.001959603512659669
0.002245431672325175,0.0019348253263160586
0.0022441101746688433,0.0019343509338796139
0.002235962399829398,0.0019293699879199266
0.002236871840888817,0.001968907192349434
0.0022319483961088255,0.0019660794641822577
0.002232512523073192,0.0019584272522479296
0.0022220984843157815,0.001952901016920805
0.0022264135996902397,0.0019784856121987104
0.00222328148369093,0.0019794637337327003
0.0022098252084106207,0.0019230522448197007
0.00222149770878091,0.0019164126133546233
0.0022072585592932048,0.0019479910843074322
0.0022008590777998095,0.0019258521497249603
0.0021933735109746968,0.0018775670323520899
0.0022066323024987735,0.001873701810836792
0.002193263731326214,0.0018790336325764656
0.002182863634444919,0.0018706013215705752
0.002188205817718899,0.001948393415659666
0.002192206788059397,0.0019017760641872883
0.0021678456801501123,0.0018646653043106198
